id|songId|verseNumber|verseContent
26|8|3|"အစဉ်ကိုယ်တော်ကိုဖူးတွေ့လိုသတည်း၊
မာရ်နတ်တန်ခိုးဘယ်သူချိုးနိုင်သနည်း။
ကိုယ်တော်မြတ်သာလျှင်တတ်နိုင်တော်မူရာ၊
ဩကျေးဇူးရှင်နေမြဲနေတော်မူပါ။"
27|8|4|"ကောင်းကျိုးပေးရန်အနားမှာနေမူလျှင်၊
ဘေးများအတွက်မစိုးရိမ်ပါအရှင်။
သေမင်းလက်နက်အဘယ်မှာရှိသနည်း၊
တန်ခိုးတော်အားဖြင့်ကျွန်ုပ်အောင်လိမ့်တည်း။"
28|9|1|"နေအနောက်သို့ဝင်လုဆဲ၊ မြေကြီးအလုပ်မှရပ်စဲ။
စောင့်၍ကိုးကွယ်ညဉ့်ချိန်တွင်၊ ညနေမီးအရောင်ထွန်းလင်း၊
ကောင်းကင်ထက်တွင်။"
29|9|2|"စကြ၀ဠာအောက်ရပ်သည်၊ သက်သခင်အိမ်ဖြစ်မူသည်။
မျက်နှာတော်ကိုရှာသူအား၊ ရင်ခွင်၌စုသိမ်းမူပါ၊
ကိုယ်တော်နီးမှာ။"
30|9|3|"စကြ၀ဠာအောက်ရပ်သည်၊ သက်သခင်အိမ်ဖြစ်မူသည်။
မျက်နှာတော်ကိုရှာသူအား၊ ရင်ခွင်၌စုသိမ်းမူပါ၊
ကိုယ်တော်နီးမှာ။"
31|9|4|"မျက်မှောက်မှထာ၀ရစဉ်၊ ကြယ်၊ နေ့၊ ညဉ့်များကွယ်လွန်လျှင်။
ဗိုလ်ခြေရှင်ကျွန်ုပ်တို့တွင်၊ ထာ၀ရနံနက်ထွန်းလင်း၊
မှောင်မိုက်ကင်းရှင်း။"
32|10|1|"ပြန်လည်တွေ့ဆုံရကြသည်တိုင်အောင်၊
ကိုယ်တော်သင်နှင့်တူရှိစေသော၊
သင့်ကိုသွန်သင်လမ်းပြရှေ့ဆောင်၊
သိုးတို့နှင့်လုံခြုံစွာသိမ်းစေသော။"
33|10|2|"ပြန်လည်တွေ့ဆုံရကြသည်တိုင်အောင်၊
ကိုယ်တော်သင်နှင့်တူရှိစေသော၊
အတောင်တော်အောက်ဘေးကင်းစေအောင်၊
နေ့စဉ်မန္နမုန့်ကိုပေးစေသော။"
34|10|3|"ပြန်လည်တွေ့ဆုံရကြသည်တိုင်အောင်၊
ကိုယ်တော်သင်နှင့်တူရှိစေသော၊
ဒုက္ခထူထပ်ကျသည်တိုင်အောင်၊
လက်တော်ဖြင့်သင့်ကိုပိုက်ဖက်စေသော။"
35|10|4|"ပြန်လည်တွေ့ဆုံရကြသည်တိုင်အောင်၊
ကိုယ်တော်သင်နှင့်တူရှိစေသော၊
ချစ်ခြင်းအလံတော်လွှင့်ထူဆောင်၊
သေခြင်းလှိုင်းတံပိုးကိုငြိမ်းစေသော။"
36|11|1|"ခမည်းတော်ချီးမွမ်း၊ ကရုဏာရှင်ဖြစ်ပေ၊
လမ်းလွဲသူများအား၊ သိမ်မွေ့စွာစောင့်ရှောက်လေ၊
ကောင်းကင်တမန်များ၊ ကိုယ်တော်ကိုချီးမွမ်းကြ၊
ယေဟောဝါချီးမွမ်းပါ။"
37|11|2|"ကယ်တင်ရှင်ချီးမွမ်း၊ ကရုဏာတော်ကြီးပေ၊
ရွေးချယ်ခံသူအား၊ ကြင်နာစွာစောင့်ရှောက်လေ၊
လူငယ်လူရွယ်များ၊ သက်ကြီးသက်ငယ်များတို့၊
ကယ်တင်ရှင်ချီးမွမ်းစို့။"
38|11|3|"ဝိညာဉ်တော်ချီးမွမ်း၊ ဥပဇ္ဈာယ်ဆရာပေ၊
ကောင်းချီးပေးစေဖို့၊ စေလွှတ်ခြင်းခံရလေ၊
ခမည်းတော်၊ သားတော်၊ ဝိညာဉ်တော်သုံးပါးကို၊
ထောမနာပြုစေလို။"
39|12|1|"တန်ခိုးအနန္တရှင်၊ ကြွလာမဟာဘုရင်၊
နာမတော်ကို၊ ကျွန်ုပ်တို့ချီးမွမ်းလို၊
အဖမစတော်မူအောင်မြင်ဘုန်းနှင့်အတူ၊
စိုးစံတော်မူ။"
40|12|2|"အို-ဥပဇ္ဈာယ်ဆရာ၊ သက်သေတော်ခံခြင်းငှာ၊
ယခုကြွပါ၊ တန်ခိုးခပ်သိမ်းရှိပါ၊
ဝိညာဉ်တော်မြတ်မဟာကျွန်ုပ်တို့အပေါ်မှာ၊
စိုးစံတော်မူ။"
41|12|3|"သုံးပါးတစ်ဆူဘုရား၊ ကိုယ်တော်အရှင်မြတ်အား၊
ချစ်ခင်ရိုကျိုး၊ အထက်ဘုံလက်စုံမိုး၊
ရှိခိုးဖူးမြော်တန်ခိုး၊ ရှိတော်မူအာနုဘော်၊
စဉ်သာဓုခေါ်။"
42|13|1|"သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်း၊ အနန္တအရှင်၊
မိုးသောက်ယံ၌အကျွန်ုပ်တို့ချီးမွမ်းအစဉ်၊
သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်းကရုဏာစွမ်းကြီးရှင်၊
ဝေနေယျကိုအစဉ်အုပ်စိုးဘုရင်။"
43|13|2|"သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်း၊ ကောင်းကင်သားတို့သည်၊
သူတို့ပေါင်းကိုဖန်ရေကန်ရှေ့ချွတ်ကန်တော့ပြီ၊
ထောင်သောင်းသိန်းသန်းတို့သည်ပျပ်ဝပ်ကိုးကွယ်ကြသည်၊
ပစ္စုန်ပ္ပန်အတိတ်အနာဂတ်မြဲတည်။"
44|13|3|"သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်း၊ ဘုန်းတော်ကိုသခင်၊
မှောင်ဖုံးကွယ်၍လူမျက်စိဖြင့်မမြင်သော်ပင်၊
ကိုယ်တော်သာလျှင်သန့်ရှင်း၊ တုပြိုင်မရှိအရှင်၊
တန်ခိုးမေတ္တာစင်ကြယ်ခြင်းပြည့်စုံလင်။"
45|14|1|"အပြစ်များသောကျွန်ုပ်တို့ပင်၊ သားတော်ခေါ်ခြင်းခံရလျှင်၊
ကိုယ်တော်မြတ်၏ချစ်မေတ္တာတော်၊ ဆင်ခြင်အောက်မေ့ကြလော့။"
46|14|2|"သွန်းတော်မူသွေးတော်မြတ်ကြောင့်သာ၊ ကိုယ်တော်မြတ်နှင့်နီးလာ၊
ချစ်သားခေါ်သော်လက်ခံမူပြီ၊ ရင်ခွင်တော်၌လျောင်းမည်။"
47|14|3|"နောင်ဘုန်းတော်တွင်ဘယ်သို့ဖြစ်မည်၊ ယခုမထင်ရှားသေး။
ကိုယ်တော်မြတ်ထင်ရှားပေါ်ထွန်းသော်၊ သဏ္ဌာန်တော်နှင့်တူချေ။"
48|14|4|"ထိုသို့မျှော်လင့်သူမည်သည်ကား၊ ကိုယ်တော်ကဲ့သို့ဖြစ်ရာ၊
သေခြင်းကိုအောင်၊ ဘုန်းကြီးအရှင်၊ မျက်နှာတော်မြတ်ဖူးမြင်။"
49|15|1|"ယေဟောဝါပလ္လင်တော်ရှေ့မှာ၊
လူမျိုးတို့ရွှင်လန်းဦးချကုန်၊
ကိုယ်တော်သာဘုရားရှင်ဖြစ်ပါ၊
ဖန်ဆင်းနိုင်၍ဖျက်ဆီးနိုင်ကုန်။"
50|15|2|"တန်ခိုးတော်ဖြင့်သာငါတို့အား၊
မြေမှုန့်မှဖန်ဆင်းတော်မူပြီ၊
ငါတို့သိုးကဲ့သို့လမ်းလွဲရာ၊
သိုးခြံတွင်းသို့ပို့ဆောင်မူပြီ။"
51|15|3|"ကောင်းကင်တိုင်အောင်အသံလွှင့်လျက်၊
ကျေးဇူးဂုဏ်တော်ချီးမွမ်းကျူးအေး၊
မြေကြီးသားအပေါင်းရွှင်မြူးလျက်၊
မင်္ဂလာဩဘာပေးကြလေ။"
52|15|4|"အာဏာတော်မြေကြီးမျှကျယ်၏၊
မေတ္တာတော်အနန္တတည်သည်၊
သစ္စာတော်သည်ကျောက်လိုမြဲ၏၊
ကမ္ဘာကုန်ဆုံးတိုင်ဖြစ်သတည်း။"
53|16|1|"ကိုးကွယ်ဝတ်ပြုကြ၊ ထက်ဘုန်းကြီးရှင်ကို၊
အံ့ဖွယ်မေတ္တာကို၊ ကျေးဇူးတင်သီဆို၊
ငါတို့ဒိုင်းလွှားကွယ်ကာရှင်ဖြစ်တော်မူပါ၊
ခမ်းနားခြင်းနှင့်ဝိုင်းလျက်ချီးမွမ်းထိုက်လှရာ။"
54|16|2|"အာနုဘော်ကြော်ငြာ၊ ကျေးဇူးချီးမွမ်းကုန်၊
မျက်နှာကြက်ကားမိုး၊ အလင်းကားဝတ်ရုံ၊
အမျက်တော်ထစ်ချုန်းမိုးကြိုးသံနှင့်တူချေ၊
သွားရာလမ်းမှောင်သောလေပြင်းအတောင်ဖြစ်စေ။"
55|16|3|"မဟာကျေးဇူးမည်၊ သူချီးမွမ်းနိုင်ရာ၊
လေတွင်ဖြန့်ကြဲလျက်၊ အလင်းတွင်တောက်လာ၊
တောင်ပေါ်မှစီးဆင်းလျက်မြေပြန့်သို့လာသည်၊
မိုးနှင်းရည်အဖြစ်၌မွှေးကြိုင်သင်းထုံသည်။"
56|16|4|"မြေမှုန့်ဇာတိလူ၊ မျိုးအားနည်းလှသည်၊
စွမ်းကြီးသောကိုယ်တော်၊ ၌အားကိုးပါပြီ၊
ဆုံးတိုင်ကရုဏာသိမ်မွေ့ခိုင်ခံ့တကား၊
ဖန်ဆင်းကွယ်ကာရွေးနုတ်မိတ်ဆွေမြတ်ဘုရား။"
57|17|1|"အို၊ ဖဘုရား၊ ကျွန်ုပ်မှာအံ့ဖွယ်ရာများ၊
အောက်မေ့စဉ်ခါကိုယ်တော်ဖန်ဆင်းလျက်ထား၊
နက္ခတ်တာရာ၊ မိုးကြိုးထစ်ချုန်းသံများပြင်၊
ခပ်သိမ်းမှုရာပြုပြင်တော်မူအရှင်။"
58|17|2|"တောအုံတောင်ကြား၊ ကျွန်ုပ်ခရီးသွားရာလမ်း၊
ကျေးငှက်များစွာသာယာမြည်တွန်ပျံသန်း၊
ကုန်းမြင့်တောင်ထိပ်၊ ဆိတ်ငြိမ်ရာရပ်မှမြင်နိုင်၊
မြက်ခင်းလွင်ပြင်လေညင်းတိုက်ခတ်ယိမ်းယိုင်။"
59|17|3|"ဘုရားရှင်မှာ၊ သားတော်ကိုပင်မညှာပေ၊
လူသတ္တဝါပေါင်းတွက်သက်သေခံပေ၊
ကပ်တိုင်ပေါ်ဝယ်၊ သွေးတော်ပင်သွန်းခြင်းခံရှာ၊
လူတို့ပြစ်များကိုယ်တော်ဆောင်ယူကြွသွား။"
60|17|4|"ကြွလာခြင်းကို၊ ကျွန်ုပ်တို့မျှော်လင့်တောင့်တ၊
နေ့ညမပြတ်ဒူးထောက်ဆုတောင်းနေအပ်၊
ယေရှုသခင်၊ တစ်ဖန်ဆင်းသက်ကြွလာပ၊
ကောင်းကင်စံရာကျွန်ုပ်ကိုဆောင်ယူအပ်။"
61|18|1|"သမုဒ္ဒရာချုပ်ထားပေရှာ၊ တောင်များပေါ်စေမူပေ၊
ကောင်းကင်တည်ရာတန်ခိုးမဟာ၊ အကြောင်းသီချင်းကျူးလေ၊
နေကိုဥပဒေစီရင်ပေ၊ ဥာဏ်တော်ကိုချီးမွမ်းသည်၊
အမိန့်တော်အတိုင်းလသာစေ၊ ကြယ်များနားထောင်ကြသည်။"
62|18|2|"ဘုရားသခင်ကောင်းမြတ်မူလို၊ စားရန်မြေကြီးပြည့်၀၊
တန်ခိုးအတိုင်းသတ္တဝါတို့၊ ဖြစ်၍အလွန်ကောင်းစွ၊
အံ့ဖွယ်မှုတော်ဘယ်လောက်များစွာ၊ ကောင်းကင်သို့မျှော်ကြည့်လျှင်၊
နင်းသောမြေမှုန့်ကိုငုံ့ကြည့်ပါ၊ လက်ရာကိုကျွန်ုပ်မြင်။"
63|18|3|"သီးမြက်ပန်းပင်ရှိလေသမျှ၊ ဘုန်းတန်ခိုးထင်ရှားရာ၊
မိုးတိမ်နှင့်လှိုင်းတံပိုးတို့ကျ၊ မိန့်တော်အတိုင်းတက်လာ၊
လက်တော်ကသက်ရသတ္တဝါ၊ ကြည့်တော်မူခြင်းအရ၊
ကျွန်ုပ်တို့ပြေးရာအရပ်မှာ၊ ကိုယ်တော်ကိုတွေ့ရကြ။"
64|19|1|"ခမည်းတော်ကမ္ဘာပင်၊ ကျွန်ုပ်နားထောင်နေလျှင်၊
ကမ္ဘာတန်ဆာအပေါင်းတို့သည်၊ သီချင်းကျူးအေးသံမြည်။
ခမည်းတော်ကမ္ဘာပင်၊ ကျောက်ဆောင်သစ်ပင်ကောင်းကင်၊
ရေပြင်တို့ကြောင့်ဖန်ဆင်းတော်မူခြင်း၊
ကျွန်ုပ်ဧကန်မှန်သိမြင်။"
65|19|2|"ခမည်းတော်ကမ္ဘာပင်၊ ကောင်းကင်ငှက်ကျူးအေးခြင်း၊
နံနက်ရောင်ခြည်နှင့်နှင်းပန်းများ၊ ကျေးဇူးတော်ချီးမွမ်းပါ။
ခမည်းတော်ကမ္ဘာပင်၊ သာယာခြင်းကိုတွေ့မြင်၊
လှုပ်ရှားမြက်ပင်ကိုယ်တော်လျှောက်သည်မှာ၊
သံတော်ကြားခပ်သိမ်းနေရာ။"
66|19|3|"ခမည်းတော်ကမ္ဘာပင်၊ ဘယ်ခါမျှမမေ့ချင်၊
အမှားသည်ထကြွတတ်သော်လည်း၊ ကိုယ်တော်အုပ်စိုးသေးသည်။
ခမည်းတော်ကမ္ဘာပင်၊ ဘယ်ကြောင့်ဝမ်းနည်းရနည်း၊
ကိုယ်တော်သည်ဘုရင်ဖြစ်လျက်အုပ်စိုး၊
ကောင်းကင်မြေကြီးသီချင်းဆို။"
67|20|1|"လှပသောပန်းပွင့်ဖုံဖုံ၊ မြည်တွန်သောငှက်များလည်း၊
အရောင်အဆင်းအမျိုးစုံ၊ ကိုယ်တော်ဖန်ဆင်းသတည်း။"
68|20|2|"အလွန်မြင့်သောတောင်ကြီးတို့၊ လှပသောမိုးတိမ်လည်း၊
နေထွက်နေဝင်ရောင်ခြည်ကို၊ ဖန်ဆင်းတော်မူသတည်း။"
69|20|3|"စပါးစိုက်သောမိုးဥတု၊ ချမ်းအေးသောဆောင်းရာသီ၊
အသီးမှည့်သောနွေဥတု၊ ကိုယ်တော်ကန့်သတ်လေသည်။"
70|20|4|"သစ်တောမှရသောသစ်သား၊ မိုးဖို့ဓနိသက်ငယ်၊
အိမ်ဆောက်ဖို့ရန်ခုတ်သောဝါး၊ ဖန်ဆင်းတော်မူပေတယ်။"
71|21|1|"ဖြစ်သမျှမှာမကြောက်ပါနှင့်၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်။
မေတ္တာတော်တွင်ကိန်းဝပ်သဖြင့်၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်။"
72|21|2|"ဒုက္ခထဲမှာစိတ်ပျက်သောခါ၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်၊
သင့်လမ်းပေါ်မှာဘေးရောက်သောခါ၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်။"
73|21|3|"သင်လိုသမျှကိုယ်တော်ပေးမည်၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်၊
တောင်းသမျှလည်းမငြင်းပယ်ပြီ၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်။"
74|21|4|"အဘယ်ကဲ့သို့ဖြစ်သည်မဆို၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်၊
ရင်ခွင်တော်တွင်အားကိုးမှီခို၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်။"
75|22|1|"ကိုယ်တော်သစ္စာကြီးမြတ်အိုအဖဘုရား၊
ပြောင်းလဲရိပ်မရှိရာ၊ ကိုယ်တော်ရှင်သာ၊
ထာ၀ရတည်မြဲကျဆုံးခြင်းမရှိပါ၊
ကိုယ်တော်တည်ရှိခြင်းထာ၀ရသက်သာ။"
76|22|2|"နွေမိုးဆောင်းအချိန်နှင့်ရိတ်သိမ်းရာချိန်မှာ၊
နေလကြယ်များမိမိနေရာလင်းရာ၊
သဘာဝတရားနှင့်ဆက်နွှယ်သက်သေပါ၊
ကိုယ်တော်သစ္စာကြီးမြတ်ချစ်ကရုဏာ။"
77|22|3|"ပြစ်လွှတ်ခြင်းတွက်ငြိမ်သက်ခြင်းမြဲမြံတည်စေ၊
ကိုယ်တော်ပါဝင်လျှင်ပျော်ရွှင်ခြင်းဖြစ်ပေ၊
ယနေ့ခွန်အားနောက်နောင်တွက်မျှော်လင့်စရာ၊
ထောင်သောင်းမင်္ဂလာများအသင့်ရှိနေ။"
78|23|1|"ကိုယ်တော်ကာလအစဉ်အဆက်၊ ကျွန်ုပ်တို့ခိုလှုံရာ။
လေပြင်းကျသော်ကွယ်ကာမူလျက်၊ စံတော်မူပါဘုရား။"
79|23|2|"ပလ္လင်တော်၏အရိပ်အောက်တွင်၊ လုံခြုံစွာနေရပြီ။
လက်ရုံးတော်ကိုဆန့်တော်မူလျှင်၊ ဘေးကင်း၍နေလိမ့်မည်။"
80|23|3|"မြေကြီးလွတ်လပ်လဟာဖြစ်ပေ၊ တောင်များမပေါ်မီခင်။
ကိုယ်တော်နိစ္စဓူဝတည်ပေ၊ လောကုတ္တရာဘုရင်။"
81|23|4|"အနှစ်တစ်ထောင်သည်လွန်ပြီးသော၊ မနေ့ကဲ့သို့ဖြစ်သည်။
ညဉ့်ယံတစ်ယံကဲ့သို့ကိုယ်တော်၊ မှတ်တော်မူလေသတည်း။"
82|23|5|"လွန်ခဲ့ကာလကိုယ်တော်မြတ်သည်၊ ကျွန်ုပ်တို့ခိုလှုံရာ။
နောင်လာလတ္တံ့ကာလထိုနည်း၊ စောင့်မတော်မူဘုရား။"
83|24|1|"ကျေးဇူးမေတ္တာ၊ အံ့ဖွယ်ချိုသာ၊ ပြစ်သားငါ့ကိုကယ်ရှာ။
ပျောက်ဆုံးရာမှပြန်တွေ့ခဲ့ပြီ၊ ကန်းသောမျက်စိမြင်ပြီ။"
84|24|2|"သက်တာခရီး၊ ကြောက်ဖွယ်လမ်းမှား၊ ကျေးဇူးတော်စဉ်ရှိပါ။
ယုံသည့်ချိန်မှာရဲရင့်အားရှိ၊ ကြောက်ခြင်းလျှင်းမရှိပြီ။"
85|24|3|"ဒုက္ခပြည့်ဝ၊ ပြစ်နွံတွင်းမှ၊ ကိုယ်တော်ထံသို့လာပြီ။
ငါ့အားကယ်တင်ကျေးဇူးတော်သည်၊ အိမ်တော်သို့ပို့ဆောင်မည်။"
86|24|4|"နေထက်တောက်ပ၊ ထိုပြည်တော်မှာ၊ အံ့ဖွယ်ကျေးဇူးတော်များ။
ရှေးကကဲ့သို့ချီးမွမ်းဆိုမည်၊ ကုန်ဆုံးခြင်းမရှိပြီ။"
87|25|1|"ချစ်ဖွယ်ဘုရားရှင်အံ့ဖွယ်ကရုဏာ၊
ပြစ်ဒုစရိုက်ထက်၊ သာလွန်ကရုဏာ၊
သိုးသငယ်သေခံရာကရာနီ၊
ဟိုတောင်ကုန်းပေါ်သွေးတော်သွန်းခဲ့ပြီ။"
