id|songId|chorus
66|66|"တံခါးမှာ၊ တံခါးမှာ၊ တံခါးမှာအေတံခါးဝရောက်ပြီ။
လာလျက်နေသည်၊ လာလျက်နေသည်၊
ကြွလာချိန်အနီးရောက်ပြီ။"
67|67|"မကြာယေရှုလာမည်၊ နံနက်၊ ညဉ့် (သို့) မွန်းတည့်၊
ပြစ်ဒဏ်ခံသူများပြား၊ တံပိုးမှုတ်သံ၊
သေလွန်သူများနိုးထ၊ မိုးကောင်းကင်၌ဆုံကြ၊
သေခြင်းကင်းဝေးသောရပ်၊ နိုင်ငံတော်လမ်း။"
68|68|na
69|69|na
70|70|na
71|71|"ဘုန်းတော်ဟာလေလုယ၊ ချီးမွမ်းဟာလေလုယ၊
ဘုန်းတော်ဟာလေလုယ၊ သိုးသငယ်။"
72|72|"ချီးမွမ်း၊ ချီးမွမ်း၊ ဂုဏ်သရေအကြောင်းကိုပြောပါ၊
ချီးမွမ်း၊ ချီးမွမ်း၊ စဉ်မပြတ်သီချင်းဆို။"
73|73|"သက်ရှင်၊ သက်ရှင်၊ ယေရှုယနေ့သက်ရှင်၊
သက်တာကျဉ်းမြောင်းသောလမ်းတစ်လျှောက်၊
ကိုယ်တော်နှင့်တူအစဉ်၊
သက်ရှင်၊ သက်ရှင်၊ ကယ်တင်ခြင်းပေးမူ၏၊
သက်ရှင်ကြောင်းဘယ်သို့သိသနည်း၊ ကိန်းဝပ်မူခြင်းဖြင့်သိ။"
74|74|"ချစ်ဖွယ်၊ နာမ၊ ယေရှုလိုခြားနာမ မရှိ။
ချစ်ဖွယ်၊ နာမ၊ ယေရှုလိုခြားနာမ မရှိ။"
75|75|"ကောင်းကင်သားချီးမွမ်းမြွက်ဆို၊
နာမတော်မြတ်ကိုအေးကျူး၊
ဆိုရာသီချင်းလွန်သာချို၊ မင်္ဂလာရှိယေရှု။"
76|76|"ခုဖြည့်ပါ၊ ခုဖြည့်ပါ၊ ယေရှုကြွ၍ခုဖြည့်ပါ။
ကိုယ်တော်လေးမြတ်သောရှိခြင်းနှင့်၊ ကြွလာ၍ယခုဖြည့်ပါ။"
77|77|na
78|78|na
79|79|na
80|80|"ကျမ်းစာမြတ်ပေးပါသန့်ရှင်းသတင်းထွန်းရာ၊
ကျဉ်းမြောင်းလမ်းတွင်အလင်းတော်လမ်းပြသည်။
ကျင့်ဝတ်နှင့်ကတိ၊ ပညတ်မေတ္တာပေါင်းရာ၊
ညဉ့်သည်ထာဝရနေ့ဖြင့်ဖုံးအုပ်မည်။"
81|81|"ကိုယ်တော်မြတ်ကိုသာယုံကြည်ပါ၊ ယခုယုံကြည်ပါ။
သင့်အပြစ်မှကယ်ချွတ်မူမည်၊ ယခုကယ်ချွတ်မည်။"
82|82|na
83|83|"ကိုယ်တော်ထံလာသည်၊ ယခုပင်လာပြီ။
သွန်းလောင်းသောသွေးတော်ဖြင့်သာ၊
ဆေးကြောစင်ကြယ်စေပါ။"
84|84|"ကောင်းလှစကား၊ အံ့ဖွယ်စကား၊ အံ့ဖွယ်သက်ရှင်စကား။
ကောင်းလှစကား၊ အံ့ဖွယ်စကား၊ အံ့ဖွယ်သက်ရှင်စကား။"
85|85|"အိမ်သို့ပြန်လာ၊ စိတ်ပင်ပန်းသူအိမ်သို့လာ၊
ဖြည်းညင်းစိတ်နှင့်လွန်စွာယေရှုခေါ်နေရှာ၊
ခေါ်သည်အိုပြစ်သားပြန်လာ။"
86|86|"ဟုတ်မည်လောအနန္တမေတ္တာ၊
ထိုတံခါးကျွန်ုပ်ဖို့ပွင့်ရှာ၊
ကျွန်ုပ်၊ ကျွန်ုပ်၊ ကျွန်ုပ်ဖို့ပွင့်နေရှာ။"
87|87|na
88|88|"ယနေ့ခေါ်နေ၊ ယနေ့ခေါ်နေ၊
ယေရှုရှင်ခေါ်နေသိမ်မွေ့စွာယနေ့ခေါ်လျက်နေ။"
89|89|"လာလိုသောသူများ၊ လာလိုသောသူများ၊
ကြော်ငြာခြင်းကိုအရပ်တိုင်းသို့ဆောင်ယူသွား။
ချစ်သောအဖခေါ်နေလမ်းလွဲသောသူတွေ၊
လာလိုသူများလာနိုင်ချေ။"
90|90|"မေတ္တာနှင့်သိမ်မွေ့စွာကိုယ်တော်ခေါ်နေ၊
လမ်းလွဲသူ၊ လမ်းလွဲသူ၊ ငါ့ထံလာချေ။
သည်းခံလျက်ထိုမှာရပ်နေကြောင်းမြင်လေ၊
ယေရှုကျွန်ုပ်သိုးထိန်းပေ။"
91|91|"မေတ္တာနှင့်သိမ်မွေ့စွာကိုယ်တော်ခေါ်နေ၊
လမ်းလွဲသူ၊ လမ်းလွဲသူ၊ ငါ့ထံလာချေ။
သည်းခံလျက်ထိုမှာရပ်နေကြောင်းမြင်လေ၊
ယေရှုကျွန်ုပ်သိုးထိန်းပေ။"
92|92|"တန်ခိုးတော်မြတ်၊ ထူးဆန်းသောတန်ခိုး၊
သိုးသငယ်တော်၏သွေး၊
တန်ခိုးတော်မြတ်၊ ထူးဆန်းသောတန်ခိုး၊
သိုးသငယ်ဖိုးထိုက်သောအသွေး။"
93|93|"ပြန်လာပြီ၊ ပြန်လာပြီ၊ နောင်ဘယ်မျှမလည်၊
မေတ္တာလက်ဖြန့်တော်မူသည်၊ အိမ်တော်သို့ပြန်ပြီ။"
94|94|na
95|95|na
96|96|"သွေးတော်တွင်၊ သွေးတော်တွင် နက်ရှိုင်းစွာတည်လျက်နေ။
သွေးတော်တွင်၊ သွေးတော်တွင် စဉ်မပြတ်တည်လျက်နေ။"
97|97|na
98|98|na
99|99|"ကိုယ်တော်သေခံကပ်တိုင်တော်နားကို၊
ကျွန်ုပ်သာ၍နီးစေပါ၊
သာ၍နီးစေ၊ နီးစေ၊ နီးစေတော်မူလို၊
နီးစေပါကိုယ်တော်အပါး။"
100|100|"မင်္ဂလာရှိသိုးငယ်ရှင်၊ ကိုယ်တော်ကိုကျွန်ုပ်ကိုးစား၊
ရိုသေစွာဦးညွတ်လိုက်ချင်၊ ယေရှုခုကယ်တင်မူပါ။"
101|101|"ကိုယ်တော်ဖို့၊ လုံးလုံးသာ၊ ကျွန်ုပ်သစ္စာပြုပါပြီ။
ကိုယ်တော်ဖို့၊ လုံးလုံးသာ၊ အိုသခင်ယခုအပ်မည်။"
102|102|"ရှိသမျှအပ်မည်၊ ရှိသမျှအပ်မည်၊
မင်္ဂလာရှိကယ်တင်ရှင်ကို၊ ရှိသမျှအပ်မည်။"
103|103|"ယေရှုနှင့်နီးကပ်စွာနေမည်၊
ကိုယ်တော်နှင့်နီးကပ်စွာနေ၊
မိနစ်တိုင်းအပြည့်ဆက်ကပ်နေ၊
ကိုယ်တော်နှင့်နီးကပ်စွာနေ။"
104|104|"ယေရှုနှင့်တူမည်အစဉ်၊ အိမ်နှင့်ပရိသတ်ထဲတွင်၊
ယေရှုနှင့်တူမည်နေ့စဉ်၊ ယေရှုနှင့်စဉ်တူမည်။"
105|105|"မြစ်တစ်ဖက်၊ နားနေရာ၊ ကျွန်ုပ်ပီတိတွေ့ရာ၊
တိုင်တော်သာဝါကြွားစရာ၊ စဉ်မြဲဖြစ်စေမူပါ။"
106|106|na
107|107|na
108|108|"ဂေသရှေမန်ကိုမမေ့လို၊ ဝေဒနာများစဉ်မှတ်မိပေ၊
အမြဲအောက်မေ့မေတ္တာတော်ကို၊ ကရာနီသို့ပို့လေ။"
109|109|"မိုးပွင့်ထက်သာဖြူစင်စေလိုငှာ၊
ဆေးကြောလျှင်ဖြူမည်မှန်ပါမိုးပွင့်ထက်သာ။"
110|110|na
111|111|na
112|112|"အိုကရုဏာအတိုင်းအရှည်၊ အိုမေတ္တာအနံအလျား၊
အိုရွေးနုတ်ခြင်းပြည့်စုံခြင်းသည်၊
သက်စဉ်မြဲကတိတော်ထား။"
113|113|na
114|114|na
115|115|"အဖကျွန်ုပ်လာသည်၊ လက်ခံသခင်။
ခိုကိုးရာမဲ့လာပြီ၊ နားညောင်းမူရှင်။"
116|116|"ကိုယ်တော်ကိုတောင့်တအစဉ်တောင့်တနေ၊
ယေရှုမြင်ရသောချိန်မြန်စွာရောက်စေ၊
ကယ်တင်ရှင်ကိုတောင့်တနေသည်၊
အစဉ်ယေရှုကိုတောင့်တသည်။"
117|117|"အိုယေရှုကယ်ချွတ်သခင်၊ ငါ့ကိုယ်ကိုအပ်နှံပြီ၊
ရန်ပြေမာန်ပြေဖြစ်စေရန်၊ ကိုယ်တော်သက်တော်စွန့်၏။
အခြားသခင်မရှိပြီ၊ နှလုံးကိုယ်တော်ပလ္လင်၊
ငါ၏သက်တာလမ်းကိုယ်တော်အပ်၊ အိုရှင်ခရစ်သခင်။"
118|118|"မိုးပွင့်ထက်ဖြူမည်၊ မိုးပွင့်ထက်ဖြူမည်၊
သိုးငယ်သွေးတော်နှင့်ဆေးကြောသည်၊
ကျွန်ုပ်မိုးပွင့်ထက်ဖြူလိမ့်မည်။"
119|119|na
120|120|"နေ့ရက်တိုင်း၊ နာရီတိုင်း၊ သွေးတော်တန်ခိုးသိစေပါ၊
ချစ်ခြင်းမေတ္တာတော်ကြိုးဖြင့်၊
အကျွန်ုပ်ကိုစည်းနှောင်တော်မူပါ။"
121|121|"ရှိသည်အတိုင်းယူပါ၊ ရှိသည်အတိုင်းယူပါ၊
ယေရှုသေခံကျွန်ုပ်ကုသိုလ်၊ ရှိသည်အတိုင်းယူပါ။"
122|122|"သက်ရှင်ပြန်စေမှုတော်၊ ရှေ့တော်တွင်ဒူးထောက်စဉ်၊
အိုကျေးဇူးရှင်ဆင်းကြွပြီးသော်၊ ကောင်းချီးပေးပါအလျင်။"
123|123|"ယေရှုအပြင်ခုဘယ်သူမျှ၊ အလိုမဖြည့်စေနိုင်။
ချစ်ခြင်း၊ အသက်၊ မြဲရွှင်မြူးရာ၊
ကိုယ်တော်အားဖြင့်ရပြီ။"
124|124|"စင်ကြယ်စမ်းရေကိုကျွန်ုပ်မြင်၊
ပြစ်ဖြေရှင်းကျွန်ုပ်ချိုးရာတွင်၊
အိုချီးမွမ်းကျွန်ုပ်စင်ကြယ်ပြီ၊
ကျွန်ုပ်စင်ကြယ်အေးစင်ကြယ်ပြီ။"
125|125|"အိုမြတ်လှစီးသောသွေး၊ မိုးပွင့်လိုဖြူစင်စေ၊
ရှာမတွေ့ခြားစမ်းရေ၊ ရှင်ယေရှုအသွေးတတ်စွမ်းလေ။"
126|126|na
127|127|na
128|128|na
129|129|"အံ့ဖွယ်ကောင်းလှကယ်တင်ရှင်၊ ယေရှုကျွန်ုပ်အရှင်၊
အံ့ဖွယ်ကောင်းလှကယ်တင်ရှင်၊ ယေရှုရှင်သခင်။"
130|130|na
131|131|"ရွေးပြီ၊ ရွေးပြီ၊ သိုးငယ်အသွေးတော်ဖြင့်ရွေးသည်၊
ရွေးပြီ၊ ရွေးပြီ၊ ကိုယ်တော်သားပင်အစဉ်ဖြစ်သည်။"
132|132|na
133|133|"ချီးမွမ်းကြ၊ ချီးမွမ်းကြ၊ လောကသံတော်ကြားစေ၊
ချီးမွမ်းကြ၊ ချီးမွမ်းကြ၊ လူအပေါင်းဝမ်းမြောက်စေ၊
သားတော်ယေရှုအားဖြင့်ခမည်းတော်ထံလာ၊
အံ့ဖွယ်မှုများတွက်မြတ်ဘုရားချီးမွမ်းပါ။"
134|134|"ကျွန်ုပ်ရွေးခြင်းခံပြီ၊ ကျွန်ုပ်ရွေးခြင်းခံပြီ၊
နာမတော်ကိုချီးမွမ်းမည်၊
ကျွန်ုပ်ရွေးခြင်းခံပြီ၊ ကျွန်ုပ်ရွေးနုတ်ရှင်ကိုချီးမွမ်းမည်။"
135|135|"ယေရှုရှင်ကိန်းဝပ်စဉ်ကပင်၊
ကျုပ်စိတ်တွင်ကိန်းဝပ်စဉ်ကပင်၊
ဝမ်းမြောက်ခြင်းကျုပ်စိတ်တွင် ပင်လယ်လှိုင်းလွှမ်းသည်ပင်၊
ယေရှုရှင်ကျုပ်စိတ်တွင်ကိန်းစဉ်။"
136|136|"ကြည့်ခြင်းဖြင့်၊ သင့်ဖို့သက်ရှိ၊
ကရာနီကိုကြည့်ခြင်းဖြင့်၊
ကယ်တင်ခြင်းသည်ဖိုးမရှိ၊
ကရာနီကိုကြည့်ခြင်းဖြင့်။"
137|137|"ပြစ်လွှတ်ခြင်း၊ ငြိမ်သက်တန်ခိုး၊
စင်ကြယ်ခြင်းနှင့်သုခဘုံပင်၊
ခရစ်တော်ရှင်၊ ငါ့ဖို့ဖြစ်လျှင်၊
ဝမ်းမြောက်စွာကျူးအေးမည်ချီးမွမ်းသီချင်း။"
138|138|"သိုးသငယ်၊ သွေးတော်မြတ်၊
ဝိညာဉ်စင်ကြယ်စေရာသွေးတော်မြတ်၊
သင့်ဝတ်လုံမိုးပွင့်လိုဖြူစင်စေပြီလား၊
သိုးငယ်သွေးတော်၌ဆေးကြောပြီလား။"
139|139|"အိုသွေးတော်မြတ်နီရဲအံ့ဖွယ်၊
ကိုယ်တော်နံဘေးမှဆင်း၊
စဉ်ချီးမွမ်းမည်ကောင်းကင်ထက်ဝယ်၊
ဖိုးထိုက်သွေးတော်မြတ်ပင်။"
140|140|"ကိုယ်တော်ရှင်သည်ငါ့ပြစ်သယ်ဆောင်သွား၊
နာမတော်ချီးမွမ်း၊ နာမတော်ချီးမွမ်း၊
ကိုယ်တော်ရှင်သည်ငါ့ပြစ်သယ်ဆောင်သွား၊
ဟာလေလုယချီးမွမ်းပါ။"
141|141|"လယ်ရှင်ဘုရားရိတ်သူများအားရိတ်ကာလမလွန်သွားခင်၊
ကောက်လှိုင်းသိမ်းရန်ခုစေလွှတ်ပါ၊
တောင်းလျှောက်သံနားညောင်းသခင်။"
142|142|na
143|143|"ဆောင်ခဲ့ပါ၊ ဆောင်ခဲ့ပါ၊ ဆောင်ခဲ့ပါအပြစ်လယ်မှလာ၊
ဆောင်ခဲ့ပါ၊ ဆောင်ခဲ့ပါ၊ လမ်းလွဲသူယေရှုထံခေါ်လာ။"
144|144|"သတင်းကောင်းကြေညာ၊ ငြိမ်သက်သတင်း၊
ယေရှုကယ်ချွတ်ခြင်း၊ ရွေးနုတ်ခြင်းမြတ်သတင်း။"
145|145|"ရိတ်သူများဘယ်မှာ၊ သင်လာမည်လော၊
ကျီတွင်စုသိမ်းကာ၊ သင်ဘုန်းဝင်စားမည်လော၊
အပြစ်လယ်ပြင်မှ၊ ကောက်လှိုင်းကောင်းများ၊
ဘယ်မှာရှိကြ၊ စုသိမ်းရိတ်သူများ။"
146|146|"ပျက်စီးသူကိုကယ်ပါ၊ သေလုသူသနား၊
ယေရှုကရုဏာရှင်၊ ယေရှုကယ်တင်။"
147|147|"သစ္စာရှိကင်းစောင့်တံပိုးမှုတ်၊
ပင်လယ်ကုန်းကျော်လျက်ကျယ်စွာ၊
ဘုရားအမိန့်တော်ကြော်ငြာထုတ်၊
ချည်နှောင်ခံသူလွှတ်အံ့ငှာ။"
148|148|"ကောက်လှိုင်းများသိမ်းလျက်၊ ကောက်လှိုင်းများသိမ်းလျက်၊
ကောက်လှိုင်းများကိုသိမ်းလျက်၊ ဝမ်းမြောက်စွာလာမည်၊
ကောက်လှိုင်းများသိမ်းလျက်၊ ကောက်လှိုင်းများသိမ်းလျက်၊
ကောက်လှိုင်းများကိုသိမ်းလျက်၊ ဝမ်းမြောက်စွာလာမည်။"
149|149|na
150|150|"ဦးရစ်တွင်ကြယ်အများ၊ ကြယ်အများရှိမည်လား၊
နေဝင်သောခါညဉ့်ချမ်းအချိန်မှာ၊
သန့်ရှင်းသူနှင့်နားရန်၊ အိမ်တော်မြတ်တွင်စံမှာ၊
ဦးရစ်တွင်ကြယ်အများရှိမည်လား။"
151|151|"အောက်ရှိမီးထွန်းလင်းတောက်စေလို၊
လှိုင်းတစ်ဖက်မီးရောင်ထိုးပေး။
အားလျော့နစ်နေသင်္ဘောသားကို၊
ကယ်နိုင်ကောင်းကယ်နိုင်ရာသေး။"
152|152|"မစသောစကားပြောစေပါ၊
သီချင်းဖြင့်ချိုအေးစေပါ၊
ပဲ့တင်ထပ်သံများပြည့်စေငှာ၊
ဆိတ်ငြိမ်ချိုင့်တွင်ကျစေပါ။"
153|153|"ငါ၌ယေရှုတွေ့နိုင်မည်လား၊
သင်၌ယေရှုတွေ့နိုင်မည်လား၊
သင်၏ချစ်ခြင်းဆောင်ရွက်ခြင်း၊
သက်တာလမ်းပါမှန်၏လား၊
သင်၌ယေရှုတွေ့နိုင်မည်လား။"
154|154|"လက်ချည်းသက်သက်သေသွားရလော၊
ဤသို့ကယ်တင်ရှင်ကြည့်တည်း၊
သွေးဆောင်ခေါ်ပြီးသူမပါသော်၊
ဘယ်သို့ထံတော်ဝင်မည်နည်း။"
